transaction_id,rfid,type_detail,transaction_date
7-1618-1618-20191018180153-101-2411,1220548,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1222291,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182460,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182146,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182289,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182000,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182111,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182433,return,2019-10-18 18:01:00
7-2350-2350-20191021143649-111-5013,1380713,return,2019-10-21 14:36:00
7-1618-1618-20191014182542-101-915,1125335,return,2019-10-14 18:25:00
7-1618-1618-20191001114917-101-7981,3544464793,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,3544464410,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,6274136057,return,2019-10-01 11:49:00
7-1618-1618-20191014182542-101-915,1124357,return,2019-10-14 18:25:00
7-1618-1618-20191014182542-101-915,1164813,return,2019-10-14 18:25:00
7-2350-2350-20191001190205-111-4455,705035,return,2019-10-01 19:02:00
7-1618-1618-20191005130416-102-536,1495353,return,2019-10-05 13:04:00
7-1614-1614-20191002125205-103-3147,2979107,return,2019-10-02 12:52:00
7-1618-1618-20191003191016-101-8648,388,return,2019-10-03 19:10:00
7-1614-1614-20191012172807-103-6438,840475,return,2019-10-12 17:28:00
7-1614-1614-20191017151501-104-6843,1725022,return,2019-10-17 15:15:00
7-1614-1614-20191024194611-104-9024,1565408650,return,2019-10-24 19:46:00
7-1618-1618-20191010121213-101-9673,2170039,return,2019-10-10 12:12:00
7-1618-1618-20191019153319-101-2770,103759,return,2019-10-19 15:33:00
7-2350-2350-20191008141409-111-4634,3507099,return,2019-10-08 14:14:00
7-1614-1614-20191020175036-103-9432,6920982744,return,2019-10-20 17:50:00
7-1618-1618-20191015121943-101-1094,2851244,return,2019-10-15 12:19:00
7-1618-1618-20191003104438-101-8384,5896773908,return,2019-10-03 10:44:00
7-1618-1618-20191013141201-107-1200,1360474,return,2019-10-13 14:12:00
7-1618-1618-20191003124756-101-8441,2594370,return,2019-10-03 12:47:00
7-1614-1614-20191003191042-103-3746,1241158,return,2019-10-03 19:10:00
7-1618-1618-20191031122424-101-6745,3540857,return,2019-10-31 12:24:00
7-1618-1618-20191025154638-101-4727,2315177,return,2019-10-25 15:46:00
7-1614-1614-20191005151448-104-3993,1340856,return,2019-10-05 15:14:00
7-1614-1614-20191021172702-103-9702,8581647636,return,2019-10-21 17:27:00
7-1614-1614-20191027175751-104-9894,142477,return,2019-10-27 17:57:00
7-1614-1614-20191006103859-103-4400,989232,return,2019-10-06 10:38:00
7-1614-1614-20191021193325-104-8212,5311696138,return,2019-10-21 19:33:00
7-1618-1618-20191014155625-101-849,1189760,return,2019-10-14 15:56:00
7-1614-1614-20191027153449-103-1711,1786906,return,2019-10-27 15:34:00
7-1618-1618-20191029150351-101-6172,1277343,return,2019-10-29 15:03:00
7-2350-2350-20191001203256-111-4457,2599317,return,2019-10-01 20:32:00
7-1618-1618-20191002151309-101-8139,687600,return,2019-10-02 15:13:00
7-1614-1614-20191019103312-103-8800,7913915643,return,2019-10-19 10:33:00
7-1618-1618-20191025185350-101-4846,1180070,return,2019-10-25 18:53:00
7-2350-2350-20191029155012-111-5242,6920974918,return,2019-10-29 15:50:00
7-1614-1614-20191010152128-104-4910,1340710,return,2019-10-10 15:21:00
7-1618-1618-20191027105802-101-5416,2016315,return,2019-10-27 10:58:00
7-1614-1614-20191030135352-104-561,2019068,return,2019-10-30 13:53:00
7-1614-1614-20191017213340-104-7007,583371,return,2019-10-17 21:33:00
7-1618-1618-20191022175140-101-3732,89851,return,2019-10-22 17:51:00
7-1618-1618-20191030121534-101-6368,1226565,return,2019-10-30 12:15:00
7-1614-1614-20191030134115-103-2708,1924151,return,2019-10-30 13:41:00
7-1618-1618-20191011155130-101-133,774030,return,2019-10-11 15:51:00
7-1618-1618-20191003134948-101-8479,2519339,return,2019-10-03 13:49:00
7-1618-1618-20191010183514-101-9883,1760429,return,2019-10-10 18:35:00
7-1618-1618-20191001130457-101-7996,1231493,return,2019-10-01 13:04:00
7-1618-1618-20191002114016-101-8040,958809,return,2019-10-02 11:40:00
7-1618-1618-20191002200656-101-8317,6953048401,return,2019-10-02 20:06:00
7-2350-2350-20191001141952-111-4431,1372024881,return,2019-10-01 14:19:00
7-1618-1618-20191002114507-101-8041,601564,return,2019-10-02 11:45:00
7-1618-1618-20191009120015-101-9487,163180,return,2019-10-09 12:00:00
7-1614-1614-20191003131931-103-3454,1080271,return,2019-10-03 13:19:00
7-1614-1614-20191003164536-103-3623,757111,return,2019-10-03 16:45:00
7-2350-2350-20191002203300-111-4479,605479,return,2019-10-02 20:33:00
7-1614-1614-20191011200004-102-1620,1263355,return,2019-10-11 20:00:00
7-2350-2350-20191001161020-111-4447,120482,return,2019-10-01 16:10:00
7-2350-2350-20191012112956-111-4705,620033,return,2019-10-12 11:29:00
7-2350-2350-20191007174432-111-4613,680611,return,2019-10-07 17:44:00
7-1618-1618-20191002162533-101-8177,3190248106,return,2019-10-02 16:25:00
7-1614-1614-20191012154921-101-6125,83053,return,2019-10-12 15:49:00
7-1618-1618-20191008160327-101-9331,1946888,return,2019-10-08 16:03:00
7-1614-1614-20191010125808-104-4868,1396788,return,2019-10-10 12:58:00
7-1614-1614-20191015143047-103-7348,1180689,return,2019-10-15 14:30:00
7-1614-1614-20191011195451-103-6102,1240564,return,2019-10-11 19:54:00
7-1618-1618-20191012150657-101-497,88114,return,2019-10-12 15:06:00
7-1614-1614-20191017110745-103-8047,3940286,return,2019-10-17 11:07:00
7-1618-1618-20191025200331-101-4907,7874927261,return,2019-10-25 20:03:00
7-1618-1618-20191014175721-101-914,9387505787,return,2019-10-14 17:57:00
7-1614-1614-20191022150743-104-8398,2003463,return,2019-10-22 15:07:00
7-1614-1614-20191022150743-104-8398,2003517,return,2019-10-22 15:07:00
7-1614-1614-20191027193600-104-9937,2732565932,return,2019-10-27 19:36:00
7-1618-1618-20191027142851-101-5504,1200598,return,2019-10-27 14:28:00
7-1618-1618-20191027142851-101-5504,1354783,return,2019-10-27 14:28:00
7-1618-1618-20191002180054-101-8235,9384467861,return,2019-10-02 18:00:00
7-1614-1614-20191002182939-103-3270,6162890011,return,2019-10-02 18:29:00
7-2350-2350-20191013143902-111-4760,2566610,return,2019-10-13 14:39:00
7-1618-1618-20191002190816-101-8285,2504565,return,2019-10-02 19:08:00
7-1618-1618-20191018180153-101-2411,1220238,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220026,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1220283,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182717,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1182508,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260754,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260031,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260549,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260130,return,2019-10-18 18:01:00
7-1618-1618-20191018180153-101-2411,1260471,return,2019-10-18 18:01:00
7-1614-1614-20191012181431-101-6167,5589608382,return,2019-10-12 18:14:00
7-1614-1614-20191009134357-104-4721,2125346,return,2019-10-09 13:43:00
7-1618-1618-20191014182542-101-915,1125210,return,2019-10-14 18:25:00
7-1618-1618-20191001114917-101-7981,3544492121,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,3544467947,return,2019-10-01 11:49:00
7-1618-1618-20191001114917-101-7981,6274144053,return,2019-10-01 11:49:00
7-1618-1618-20191014182542-101-915,1105864,return,2019-10-14 18:25:00
7-1618-1618-20191002131112-101-8074,5794221596,return,2019-10-02 13:11:00
7-1618-1618-20191022195556-101-3810,1241452,return,2019-10-22 19:55:00
7-1618-1618-20191021201057-101-3496,2100610,return,2019-10-21 20:10:00
7-1618-1618-20191005130416-102-536,1968842,return,2019-10-05 13:04:00
7-1618-1618-20191026145658-101-5138,1216844,return,2019-10-26 14:56:00
7-1614-1614-20191022195531-103-166,1992035,return,2019-10-22 19:55:00
7-1614-1614-20191008173414-104-4543,745517,return,2019-10-08 17:34:00
7-2350-2350-20191007114047-111-4593,1864964,return,2019-10-07 11:40:00
7-1614-1614-20191004152804-104-3716,953266058,return,2019-10-04 15:28:00
7-1614-1614-20191026155314-102-3650,2561434,return,2019-10-26 15:53:00
7-1618-1618-20191003192537-101-8659,1382374,return,2019-10-03 19:25:00
7-1618-1618-20191008191000-101-9465,1196515,return,2019-10-08 19:10:00
7-1618-1618-20191030111714-101-6337,1289006,return,2019-10-30 11:17:00
7-2350-2350-20191012141403-111-4712,2515177,return,2019-10-12 14:14:00
7-1618-1618-20191011122500-101-43,742542,return,2019-10-11 12:25:00
7-1618-1618-20191019153319-101-2770,2965681,return,2019-10-19 15:33:00
7-1618-1618-20191006145046-101-8874,1832460230,return,2019-10-06 14:50:00
7-1614-1614-20191022164934-104-8464,1746480,return,2019-10-22 16:49:00
7-2350-2350-20191026121602-111-5142,1880370,return,2019-10-26 13:12:00
7-2350-2350-20191003111505-111-4490,2020632,return,2019-10-03 11:15:00
7-1614-1614-20191002180639-103-3254,2150142,return,2019-10-02 18:06:00
7-1614-1614-20191003155432-103-3579,10705313,return,2019-10-03 15:54:00
7-1614-1614-20191004131208-103-3923,1357068,return,2019-10-04 13:12:00
7-1614-1614-20191021113821-104-8074,830083,return,2019-10-21 11:38:00
7-1618-1618-20191020104209-101-3065,1900303,return,2019-10-20 10:42:00
7-1618-1618-20191020135130-101-3164,1413840,return,2019-10-20 13:51:00
7-2350-2350-20191023213409-111-5075,921228,return,2019-10-23 21:34:00
7-1618-1618-20191019185044-101-2906,4237994200,return,2019-10-19 18:50:00
7-1614-1614-20191006103859-103-4400,607663,return,2019-10-06 10:38:00
7-2350-2350-20191028113810-111-5198,2485485,return,2019-10-28 11:38:00
7-1618-1618-20191031112726-101-6714,674569,return,2019-10-31 11:27:00
7-2350-2350-20191008170200-111-4640,601419,return,2019-10-08 17:02:00
7-1614-1614-20191028123924-103-2034,1321339,return,2019-10-28 12:39:00
7-1614-1614-20191010151357-102-1453,8604731199,return,2019-10-10 15:13:00
7-1614-1614-20191010151357-102-1453,2581526,return,2019-10-10 15:13:00
7-1618-1618-20191027140240-101-5494,602317,return,2019-10-27 14:02:00
7-2350-2350-20191016173038-101-8420,30877,return,2019-10-16 17:30:00
7-1618-1618-20191030182920-101-6532,3591940755,return,2019-10-30 18:29:00
7-1618-1618-20191031132049-101-6777,1182836,return,2019-10-31 13:20:00
7-1618-1618-20191020105245-101-3069,1834412,return,2019-10-20 10:52:00
7-1618-1618-20191020105245-101-3069,1834347,return,2019-10-20 10:52:00
7-1618-1618-20191022215314-101-3875,1221765,return,2019-10-22 21:53:00
7-1618-1618-20191025173922-101-4794,3931818175,return,2019-10-25 17:39:00
7-1614-1614-20191031103251-103-2902,1504748,return,2019-10-31 10:32:00
